product_image,product_name,product_rating,product_url
https://images-eu.ssl-images-amazon.com/images/I/51Ta3IWxhJL._SX300_SY300_QL70_ML2_.jpg,"EITHEO Marvel Baby Groot Model Action Figure Pen Stand Cum Flower Pot Planter (16x14x13 Cm, Brown)",4.3 out of 5 stars,https://www.amazon.in/Eitheo-Action-Figure-Flower-Planter/dp/B07MP8JX5J?dchild=1&keywords=groot&qid=1622956420&sr=8-5&th=1&linkCode=ll1&tag=giftomatic07-21&linkId=de8c23a181325dc6e57fdd4a93e12793&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51PJtXhH87L._SY300_SX300_QL70_ML2_.jpg,CRAFT CLUB Premium Leather Journal with Antique Handmade Paper.,4.3 out of 5 stars,https://www.amazon.in/Premium-Leather-Journal-Antique-Handmade/dp/B08MKDMRJY?dchild=1&keywords=antique+diary&qid=1622219126&sr=8-5&linkCode=ll1&tag=giftomatic07-21&linkId=1c9756be18421c587c474bdf8821eb9e&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51cFD0IilOL._SX300_SY300_QL70_ML2_.jpg,Sleepy Owl Coffee Hazelnut Cold Brew Packs | 5 Packs | 3 Step Brew - No Equipment Required | 100% Arabica Beans - Sourced Directly from Farms,4.5 out of 5 stars,https://www.amazon.in/Sleepy-Owl-Coffee-Hazelnut-Packs/dp/B08JLSRPW9?dchild=1&keywords=Sleepy+Owl+Coffee+cold&qid=1622902965&s=grocery&sr=1-8&linkCode=ll1&tag=giftomatic07-21&linkId=78cf64dc4fcb7d81b37938807af66985&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51t6B-A0EUL._SX300_SY300_QL70_ML2_.jpg,"ExclusiveLane Earthenware Madhubani & Warli Handpainted Flower Vases (27.94 cm x 27.94 cm x 15.24 cm, Multicolour)",4.1 out of 5 stars,https://www.amazon.in/dp/B011IQ9UYG?psc=1&pd_rd_i=B011IQ9UYG&pd_rd_w=7yK0B&pf_rd_p=22b566f7-b705-4003-ab1d-17d90225e15f&pd_rd_wg=T19m1&pf_rd_r=Y2QSD6XDHFHMXYW1W56C&pd_rd_r=6d166087-cd07-460e-9e43-1b0c45dce66b&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSU9QMlg1Wlc5WjkwJmVuY3J5cHRlZElkPUEwNTIyOTY0QUE1UElIVk1RQVdNJmVuY3J5cHRlZEFkSWQ9QTA2NjQ2NTRBTTBRUlFMT1YwTTYmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&linkCode=ll1&tag=giftomatic07-21&linkId=6315e3ad6c7c207903020122369de365&language=en_IN&ref_=as_li_ss_tl
https://images-na.ssl-images-amazon.com/images/I/51bxi-Bi1jL._SY300_SX300_.jpg,Swiss Military Canvas Beige Sling Bag (CAN-3),4.3 out of 5 stars,https://www.amazon.in/Swiss-Military-Canvas-Beige-CAN-3/dp/B00K1EI07A?&linkCode=ll1&tag=giftomatic07-21&linkId=6180fbb4e75cfe89d50c6ce4015c2c69&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51knv1vvKLL._SX300_SY300_QL70_ML2_.jpg,"Panshul Fab & Tex Fabric Monk Idol, 6x4x3 cm, Multicolour, Set of 4",4.2 out of 5 stars,https://www.amazon.in/Panshul-Fab-Tex-Showpiece-Dashboard-Home/dp/B08GQ8Y24V?pd_rd_w=8wEsX&pf_rd_p=733c3c6e-69dd-48c4-aaeb-acc982b5fc9a&pf_rd_r=G18YWNMW6MSDRMKCVPMT&pd_rd_r=3bbb921c-caff-46d8-a767-eb23548e7e81&pd_rd_wg=lqvmc&pd_rd_i=B08GQ8Y24V&th=1&linkCode=ll1&tag=giftomatic07-21&linkId=b7e9347b6135cd72815012e6960cc7c3&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/516Ce5A2MaL._SX300_SY300_QL70_ML2_.jpg,"Varna Crafts Plastic LED Ironman Mask Lamp, Black",4.2 out of 5 stars,https://www.amazon.in/Varna-Crafts-Illusion-Flashing-5x8-inch/dp/B06Y2DRN89?dchild=1&keywords=illusion%2Blamp&qid=1622905886&sr=8-7&th=1&linkCode=ll1&tag=giftomatic07-21&linkId=1a1c72bfe88dbda301a8e729accf7bfa&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51lqwho8vIL._SX300_SY300_QL70_ML2_.jpg,"ExclusiveLane Terracotta Pots Flower Vases for Living Room Terracotta Decorative for Home & Decorative Vase for Home Decor (13.4 cm x 13.4 cm x 14.9 cm, Jet Black, Golden & White)",4.4 out of 5 stars,https://www.amazon.in/dp/B07YG8Q5XH?psc=1&pd_rd_i=B07YG8Q5XH&pd_rd_w=7yK0B&pf_rd_p=22b566f7-b705-4003-ab1d-17d90225e15f&pd_rd_wg=T19m1&pf_rd_r=Y2QSD6XDHFHMXYW1W56C&pd_rd_r=6d166087-cd07-460e-9e43-1b0c45dce66b&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSU9QMlg1Wlc5WjkwJmVuY3J5cHRlZElkPUEwNTIyOTY0QUE1UElIVk1RQVdNJmVuY3J5cHRlZEFkSWQ9QTA2NjQ3MTBTSTZISzZFTTVHMUwmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&linkCode=ll1&tag=giftomatic07-21&linkId=5618101c444edfa9d51cc7521ab06b62&language=en_IN&ref_=as_li_ss_tl
https://images-na.ssl-images-amazon.com/images/I/31x7fkC%2BATL._SY300_SX300_.jpg,The House of Tara Moss Green Vintage Canvas Messenger Sling Bag for Men and Women,4.2 out of 5 stars,https://www.amazon.in/House-Vintage-Crossbody-Business-Messenger/dp/B079R9T5V6?&linkCode=ll1&tag=giftomatic07-21&linkId=f459b37e21fe9c1586c5914b835d1209&language=en_IN&ref_=as_li_ss_tl
https://images-eu.ssl-images-amazon.com/images/I/51D8t73L2IS._SX300_SY300_QL70_ML2_.jpg,Lazy Gardener Propagation Station - Premium Mango Wood (Pack of 1),4.0 out of 5 stars,https://www.amazon.in/dp/B08KZZ8VGV?&linkCode=ll1&tag=giftomatic07-21&linkId=a6d4e123d8452ca85f062c9c4b749df6&language=en_IN&ref_=as_li_ss_tl
